CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
205,Walmart,LIDER HIPER PUENTE NUEVO,AV. LAS CONDES 12916,LO BARNECHEA,Lun-Dom 08:30 a 22:00,359303,6306592,-70.5124132700129,-33.3707159149033
206,Walmart,LIDER HIPER DEPARTAMENTAL,AV. AMERICO VESPUCIO 6325,LA FLORIDA,Lun-Dom 08:30 a 22:00,352250,6290599,-70.5908423050933,-33.5139692664726
207,Walmart,LIDER EXPRESS SAN PABLO,SAN PABLO 2362,SANTIAGO,Lun-Dom 08:30 a 22:00,344728,6299227,-70.6703095942928,-33.4351117170152
208,Walmart,LIDER EXPRESS VITACURA,AV. VITACURA 4100,VITACURA,Lun-Dom 08:30 a 22:00,352081,6303248,-70.590576297215,-33.3998990540761
209,Walmart,LIDER EXPRESS MAIPU,AV. LOS PAJARITOS 1790,MAIPU,Lun-Dom 08:30 a 22:00,334970,6290719,-70.7767871139999,-33.5102455959999
210,Walmart,LIDER EXPRESS NONATO COO,NONATO COO 3108,PUENTE ALTO,Lun-Dom 08:30 a 22:00,354339,6283507,-70.5695087566837,-33.5781976112227
211,Walmart,LIDER EXPRESS PLAZA ITALIA,AV. RANCAGUA 0180,PROVIDENCIA,Lun-Dom 08:30 a 22:00,348465,6298654,-70.6302176043761,-33.4408174704335
212,Walmart,LIDER HIPER IRARRAZAVAL,AV.IRARRAZAVAL 2928,ÑUÑOA,Lun-Dom 08:30 a 22:00,351240,6297150,-70.6006210653509,-33.4547651690121
213,Walmart,LIDER EXPRESS LAS REJAS,AV.LIBERTADOR BERNARDO O'HIGGINS 5199,ESTACION CENTRAL,Lun-Dom 08:30 a 22:00,341411,6296733,-70.7064214225571,-33.4571151736776
214,Walmart,LIDER EXPRESS PUENTE ALTO,AV. MEXICO 1598,PUENTE ALTO,Lun-Dom 08:30 a 22:00,355323,6281696,-70.5592016467882,-33.5946574220441
215,Walmart,LIDER HIPER LOS MORROS,RIQUELME 69,EL BOSQUE,Lun-Dom 08:30 a 22:00,345157,6286944,-70.6678183800384,-33.5459163082289
216,Walmart,LIDER HIPER MATUCANA,AV. MATUCANA 1202,QUINTA NORMAL,Lun-Dom 08:30 a 22:00,343780,6299604,-70.6804390226636,-33.43157146822
217,Walmart,LIDER HIPER HUECHURABA,AV. AMERICO VESPUCIO 1737,HUECHURABA,Lun-Dom 08:30 a 22:00,343910,6306609,-70.6778212680362,-33.3684386191972
218,Walmart,LIDER HIPER AV. CENTRAL,AV. LOS PAJARITOS 2689,MAIPU,Lun-Dom 08:30 a 22:00,336813,6291899,-70.757311,-33.503596
219,Walmart,LIDER HIPER MAIPU,AV. LOS PAJARITOS 4500,MAIPU,Lun-Dom 08:30 a 22:00,337827,6293961,-70.7454617303113,-33.4815673499888
220,Walmart,LIDER HIPER QUILIN,AV. AMERICO VESPUCIO 3100,PEÑALOLEN,Lun-Dom 08:30 a 22:00,353268,6293801,-70.5793607501303,-33.4852339316205
221,Walmart,LIDER HIPER VESPUCIO MAIPU,AV. AMERICO VESPUCIO NORTE 1955,MAIPU,Lun-Dom 08:30 a 22:00,336486,6295041,-70.7596833680178,-33.4715098425775
222,Walmart,LIDER HIPER CORDILLERA,AV. LOS TOROS 05441,PUENTE ALTO,Lun-Dom 08:30 a 22:00,355378,6284823,-70.5581064108238,-33.5664713042779
223,Walmart,LIDER HIPER VICUÑA MACKENNA,AV. VICUNA MACKENA 7196,LA FLORIDA,Lun-Dom 08:30 a 22:00,351302,6289827,-70.6011757750608,-33.5207973280328
224,Walmart,LIDER HIPER MACUL,AV. JOSE PEDRO ALESSANDRI 2127,MACUL,Lun-Dom 08:30 a 22:00,351433,6295002,-70.5989014600478,-33.4741531626615
225,Walmart,LIDER HIPER VITACURA,BUENAVENTURA 1770,VITACURA,Lun-Dom 08:30 a 22:00,354148,6304767,-70.5681058850668,-33.3864876806606
226,Walmart,LIDER HIPER PLAZA VESPUCIO,AV. FROILAN ROA 7107,LA FLORIDA,Lun-Dom 08:30 a 22:00,351452,6290543,-70.6001898275732,-33.5145345077161
227,Walmart,LIDER EXPRESS COLON,AV. CUARTO CENTENARIO 1016,LAS CONDES,Lun-Dom 08:30 a 22:00,355555,6301316,-70.5535460224003,-33.4177873910042
228,Walmart,LIDER EXPRESS LATADIA,AV. AMERICO VESPUCIO SUR 1790,LAS CONDES,Lun-Dom 08:30 a 22:00,353607,6300097,-70.5746863701926,-33.428513593411
229,Walmart,LIDER HIPER TALAGANTE,AV. LIBERTADOR BERNARDO O'HIGGINS 807,TALAGANTE,Lun-Dom 08:30 a 22:00,321495,6273615,-70.9252302032062,-33.6623790828303
230,Walmart,LIDER EXPRESS P. DE VALDIVIA,AV. PEDRO DE VALDIVIA 1885,PROVIDENCIA,Lun-Dom 08:30 a 22:00,350605,6298769,-70.6071853448527,-33.4400811646939
