Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Tipus_Vehicles,Desc_distintiu_ambiental,Nombre
2019,1,Ciutat Vella,3,la Barceloneta,Turismes,Sense distintiu ambiental,802
2019,1,Ciutat Vella,3,la Barceloneta,Turismes,Etiqueta 0 – Zero emissions – Blava,11
2019,1,Ciutat Vella,3,la Barceloneta,Turismes,Etiqueta B – Groga,1167
2019,1,Ciutat Vella,3,la Barceloneta,Turismes,Etiqueta C – Verda,1092
2019,1,Ciutat Vella,3,la Barceloneta,Turismes,Etiqueta E – Eco,76
2019,1,Ciutat Vella,3,la Barceloneta,Turismes,No consta,15
2019,1,Ciutat Vella,3,la Barceloneta,Motos,Sense distintiu ambiental,281
2019,1,Ciutat Vella,3,la Barceloneta,Motos,Etiqueta 0 – Zero emissions – Blava,151
2019,1,Ciutat Vella,3,la Barceloneta,Motos,Etiqueta B – Groga,251
2019,1,Ciutat Vella,3,la Barceloneta,Motos,Etiqueta C – Verda,1150
2019,1,Ciutat Vella,3,la Barceloneta,Motos,No consta,8
2019,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,Sense distintiu ambiental,255
2019,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,3
2019,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,Etiqueta B – Groga,234
2019,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,Etiqueta C – Verda,17
2019,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,No consta,2
2019,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Sense distintiu ambiental,172
2019,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Etiqueta 0 – Zero emissions – Blava,1
2019,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Etiqueta B – Groga,171
2019,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Etiqueta C – Verda,95
2019,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Etiqueta E – Eco,6
2019,1,Ciutat Vella,3,la Barceloneta,Furgonetes,No consta,4
2019,1,Ciutat Vella,3,la Barceloneta,Camions,Sense distintiu ambiental,54
2019,1,Ciutat Vella,3,la Barceloneta,Camions,Etiqueta B – Groga,43
2019,1,Ciutat Vella,3,la Barceloneta,Camions,Etiqueta C – Verda,10
2019,1,Ciutat Vella,3,la Barceloneta,Camions,Etiqueta E – Eco,1
2019,1,Ciutat Vella,3,la Barceloneta,Camions,No consta,3
2019,1,Ciutat Vella,3,la Barceloneta,Altres vehicles,Sense distintiu ambiental,80
2019,1,Ciutat Vella,3,la Barceloneta,Altres vehicles,Etiqueta B – Groga,8
2019,1,Ciutat Vella,3,la Barceloneta,Altres vehicles,Etiqueta C – Verda,4
2019,1,Ciutat Vella,3,la Barceloneta,Altres vehicles,No consta,1
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Sense distintiu ambiental,1171
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Etiqueta 0 – Zero emissions – Blava,20
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Etiqueta B – Groga,1305
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Etiqueta C – Verda,1238
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Etiqueta E – Eco,109
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,No consta,42
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,Sense distintiu ambiental,553
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,Etiqueta 0 – Zero emissions – Blava,124
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,Etiqueta B – Groga,352
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,Etiqueta C – Verda,1489
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,No consta,14
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,Sense distintiu ambiental,292
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,Etiqueta 0 – Zero emissions – Blava,4320
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,Etiqueta B – Groga,438
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,Etiqueta C – Verda,20
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,No consta,2
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,Sense distintiu ambiental,253
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,Etiqueta 0 – Zero emissions – Blava,4
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,Etiqueta B – Groga,200
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,Etiqueta C – Verda,60
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,No consta,3
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,Sense distintiu ambiental,85
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,Etiqueta B – Groga,28
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,Etiqueta C – Verda,11
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,No consta,3
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Altres vehicles,Sense distintiu ambiental,95
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Altres vehicles,Etiqueta B – Groga,9
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Altres vehicles,Etiqueta C – Verda,2
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Altres vehicles,No consta,12
2019,2,Eixample,5,el Fort Pienc,Turismes,Sense distintiu ambiental,1783
2019,2,Eixample,5,el Fort Pienc,Turismes,Etiqueta 0 – Zero emissions – Blava,13
2019,2,Eixample,5,el Fort Pienc,Turismes,Etiqueta B – Groga,3185
2019,2,Eixample,5,el Fort Pienc,Turismes,Etiqueta C – Verda,3640
2019,2,Eixample,5,el Fort Pienc,Turismes,Etiqueta E – Eco,282
2019,2,Eixample,5,el Fort Pienc,Turismes,No consta,49
2019,2,Eixample,5,el Fort Pienc,Motos,Sense distintiu ambiental,888
2019,2,Eixample,5,el Fort Pienc,Motos,Etiqueta 0 – Zero emissions – Blava,3
2019,2,Eixample,5,el Fort Pienc,Motos,Etiqueta B – Groga,517
2019,2,Eixample,5,el Fort Pienc,Motos,Etiqueta C – Verda,2604
2019,2,Eixample,5,el Fort Pienc,Motos,No consta,25
2019,2,Eixample,5,el Fort Pienc,Ciclomotors,Sense distintiu ambiental,377
2019,2,Eixample,5,el Fort Pienc,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,7
2019,2,Eixample,5,el Fort Pienc,Ciclomotors,Etiqueta B – Groga,395
2019,2,Eixample,5,el Fort Pienc,Ciclomotors,Etiqueta C – Verda,26
2019,2,Eixample,5,el Fort Pienc,Ciclomotors,No consta,3
2019,2,Eixample,5,el Fort Pienc,Furgonetes,Sense distintiu ambiental,272
2019,2,Eixample,5,el Fort Pienc,Furgonetes,Etiqueta B – Groga,314
2019,2,Eixample,5,el Fort Pienc,Furgonetes,Etiqueta C – Verda,113
2019,2,Eixample,5,el Fort Pienc,Furgonetes,Etiqueta E – Eco,2
2019,2,Eixample,5,el Fort Pienc,Furgonetes,No consta,7
2019,2,Eixample,5,el Fort Pienc,Camions,Sense distintiu ambiental,123
2019,2,Eixample,5,el Fort Pienc,Camions,Etiqueta 0 – Zero emissions – Blava,1
2019,2,Eixample,5,el Fort Pienc,Camions,Etiqueta B – Groga,104
2019,2,Eixample,5,el Fort Pienc,Camions,Etiqueta C – Verda,34
2019,2,Eixample,5,el Fort Pienc,Camions,No consta,4
2019,2,Eixample,5,el Fort Pienc,Altres vehicles,Sense distintiu ambiental,254
2019,2,Eixample,5,el Fort Pienc,Altres vehicles,Etiqueta B – Groga,87
2019,2,Eixample,5,el Fort Pienc,Altres vehicles,Etiqueta C – Verda,33
2019,2,Eixample,5,el Fort Pienc,Altres vehicles,No consta,4
2019,2,Eixample,6,la Sagrada Família,Turismes,Sense distintiu ambiental,2966
2019,2,Eixample,6,la Sagrada Família,Turismes,Etiqueta 0 – Zero emissions – Blava,23
2019,2,Eixample,6,la Sagrada Família,Turismes,Etiqueta B – Groga,4753
2019,2,Eixample,6,la Sagrada Família,Turismes,Etiqueta C – Verda,5436
2019,2,Eixample,6,la Sagrada Família,Turismes,Etiqueta E – Eco,470
2019,2,Eixample,6,la Sagrada Família,Turismes,No consta,47
2019,2,Eixample,6,la Sagrada Família,Motos,Sense distintiu ambiental,1175
2019,2,Eixample,6,la Sagrada Família,Motos,Etiqueta 0 – Zero emissions – Blava,81
2019,2,Eixample,6,la Sagrada Família,Motos,Etiqueta B – Groga,849
2019,2,Eixample,6,la Sagrada Família,Motos,Etiqueta C – Verda,4304
2019,2,Eixample,6,la Sagrada Família,Motos,No consta,38
2019,2,Eixample,6,la Sagrada Família,Ciclomotors,Sense distintiu ambiental,582
2019,2,Eixample,6,la Sagrada Família,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,11
2019,2,Eixample,6,la Sagrada Família,Ciclomotors,Etiqueta B – Groga,707
2019,2,Eixample,6,la Sagrada Família,Ciclomotors,Etiqueta C – Verda,35
2019,2,Eixample,6,la Sagrada Família,Ciclomotors,No consta,6
2019,2,Eixample,6,la Sagrada Família,Furgonetes,Sense distintiu ambiental,411
2019,2,Eixample,6,la Sagrada Família,Furgonetes,Etiqueta 0 – Zero emissions – Blava,2
2019,2,Eixample,6,la Sagrada Família,Furgonetes,Etiqueta B – Groga,459
2019,2,Eixample,6,la Sagrada Família,Furgonetes,Etiqueta C – Verda,121
2019,2,Eixample,6,la Sagrada Família,Furgonetes,Etiqueta E – Eco,4
2019,2,Eixample,6,la Sagrada Família,Furgonetes,No consta,6
2019,2,Eixample,6,la Sagrada Família,Camions,Sense distintiu ambiental,170
2019,2,Eixample,6,la Sagrada Família,Camions,Etiqueta B – Groga,119
